idx_candidate,x_refined,y_refined,second_deriv,curvature,third_deriv,slope,valid_minimum
243665,6457.864893249853,0.9681260046122877,9.583483896739478,399669794.3190581,105.04794341742779,-17699.10121929178,True
243683,6458.080517855273,0.9656480052871445,8.521691682231143,355412524.52707005,-176.91566359124195,37697.334577718095,True
243827,6459.7278197212345,0.9310690695258443,10.133652294848677,422857889.168869,29.622907198293312,-4462.527540432922,True
243843,6459.964643980664,0.9472497530901468,8.205846029854028,342439335.7611364,-5.370988654313628,1233.8910509883399,True
243879,6460.524090979686,0.9618537259611073,6.051336422645723,252572927.86218828,-16.43902062904215,6943.9253310105,True
243897,6460.81216167706,0.8928228457466977,19.821509977787873,827391328.5219988,-111.69712247391399,4397.246861731102,True
243926,6461.256047283107,0.9204619815698557,20.685150526672206,863560141.6832868,-113.68283008338501,4109.225759780954,True
243953,6461.672034496521,0.9527672008797525,6.75832639673495,282181790.7532062,-38.278271950214084,12960.702309803239,True
243989,6462.204459066685,0.9162242089577967,8.054622950462305,336361750.90084577,-99.07182620621103,23614.485705042152,True
244014,6462.581218000718,0.15104938698223536,17.502281750627812,730982027.2015456,-467.13416746954283,23580.10455445113,True
244021,6462.68171998138,0.16708093480644995,6.182004530441988,258199177.7147926,485.46292492727537,-196419.2780760152,True
244052,6463.170662153517,0.9165599447743816,6.959565379265355,290718966.82929057,80.14981833330538,-25585.395147724448,True
244065,6463.360061884335,0.9483105165602572,7.570271981196315,316248288.32279074,152.8970187690859,-41249.35381216893,True
244094,6463.804146983726,0.855232151799124,32.83197000894915,1371744792.2590985,-124.97167989985867,1792.3754316400627,True
244119,6464.175218830259,0.8395836371230001,29.287555799260367,1223796956.998025,136.55517490624828,-2461.094177840704,True
244181,6465.145523640513,0.9651994180173161,1.280274578691186,53513053.37098244,-79.893621468582,753402.4126337155,True
244187,6465.200428668635,0.963052023903917,3.80316237286488,158967686.4582027,25.587846565583323,-27343.962999547603,True
244198,6465.378330163467,0.9606519461663269,6.324050711353639,264352383.396604,-22.940239225246756,8865.694455454495,True
244225,6465.77798344803,0.8549967226645786,16.924829343963722,707564237.9663807,100.95908007053056,-5447.226678233377,True
244247,6466.126036206442,0.9527825718269783,12.898192617894763,539283570.2515075,-94.84552705640445,8810.781279675408,True
244270,6466.459167504647,0.8478408715327512,22.73325786084234,950593318.12846,-43.66500893217513,1305.6991029556168,True
244333,6467.4058383570755,0.8582934700449619,16.193416662453316,677327516.6172825,91.99724868545525,-5420.847527345734,True
244357,6467.770010498027,0.960167069836134,15.806325850778247,661210996.0565675,-120.74708199511309,7467.232309327924,True
244378,6468.087073749116,0.9807857755395324,8.242311248385791,344826572.9783322,-94.71352469653513,21539.596747905474,True
244384,6468.063454307171,0.9819465139785771,2.7565030235123644,115320632.81730835,-57.78155349084128,117489.06399905506,True
244399,6468.408999087444,0.967681590538188,3.1411140256104333,131425200.21798857,-126.51962873390099,198103.651370498,True
244407,6468.495096158153,0.9620163397038632,7.324370314703483,306462119.09358037,80.43739366243778,-23164.00219966188,True
244423,6468.7492702039535,0.957253498466146,16.065443765282527,672253949.777792,-141.03274881827267,8441.383831137042,True
244475,6469.506109500073,0.9520422646589656,10.856456867437789,454391674.932547,104.05468440493635,-13636.839677566386,True
244492,6469.7615363090135,0.9159578963869028,22.991674492253477,962381242.1866693,66.01024569461966,-1928.7738942491058,True
244642,6471.968631931792,0.9665979354993841,5.749028255262283,240805970.47570014,418.8376191821948,-195668.01558714386,True
244652,6472.129833007926,0.9650924555344002,15.532543652018601,650634404.5320561,21.439262521948613,-1372.0720072030476,True
244668,6472.356410306203,0.9740676378640968,6.49859250685841,272235121.90853095,-10.191985680849825,3726.1232644879146,True
244696,6472.7636027529425,0.9717042284947373,7.0239138581823575,294278591.59244245,130.52668442305156,-40846.105536551346,True
244706,6472.90743305994,0.997202958379687,3.1134792828753737,130450207.12110223,123.03285874447508,-195942.75342329752,True
244728,6473.244096262555,0.8952968467976401,33.35103714126204,1397504811.6940794,-88.53685341942331,1228.8046875809991,True
244739,6473.387992645086,0.9684527027340455,2.9647700190811346,124237952.69295494,154.8250716388614,-271911.1893140816,True
244759,6473.691648495888,0.7853736668669102,27.262678410089233,1142542962.4811687,-235.57987672110798,4892.700001505225,True
244775,6473.92468849953,0.8207606827196484,18.259092205179396,765269610.7043872,135.4272087259472,-6270.170770582087,True
244792,6474.177828757537,0.875204761897434,5.600844287248186,234759268.20880848,-42.265357660756806,20796.601738704885,True
244820,6474.582613266763,0.7642351871887204,62.1193278559059,2604055890.966623,252.04868521892996,-1008.134812817281,True
244853,6475.062521366918,0.8031804469924725,29.630590527465866,1242305017.5569494,-466.3961179878191,8198.413052293357,True
244945,6476.391724337676,0.9148397370783428,24.0472279662793,1008628507.686499,126.27578935971675,-3369.429625646273,True
244967,6476.69564777149,0.9614109723856001,21.203340284945806,889428950.985623,60.02094227539638,-2059.8718456119664,True
244980,6476.895878009783,0.9476070328055132,21.25364354232288,891594176.8168918,35.86479245183667,-1224.9943051761986,True
245046,6477.850616384293,0.8653769858895437,31.609514814569092,1326415801.887669,-88.65709305818834,1368.8200164356658,True
245058,6478.023069250682,0.9232654070397707,6.6896850928467515,280731182.49531233,113.89806841145699,-39261.05522127341,True
245079,6478.326487403611,0.9340060217528793,12.194944281853335,511806129.7548683,-77.51888123082121,8040.52621795597,True
245097,6478.598013794483,0.8255708697190041,30.194694193194582,1267338716.6197486,-457.72402388617564,7743.919876996943,True
245118,6478.8822002191755,0.829740223415972,23.7572814309815,997233615.6273109,-107.72676127010291,2943.943583088824,True
245191,6479.9127664345215,0.9326055690529068,14.481007320068564,608046918.4232957,-21.653847796979306,1592.4573971546506,True
245215,6480.249678156098,0.9316746928721932,8.291951261060774,348209182.0849128,40.58605628548584,-9102.717839620198,True
245266,6480.991129370161,0.8375157053399056,16.692214044472838,701127173.1113775,59.74755085666711,-3306.3607646465966,True
245289,6481.312055519292,0.9415209981312151,7.805958717932303,327908076.7791432,60.39199413210471,-15281.40852637161,True
245354,6482.235027194588,0.8949072683572649,9.73453243770752,409038929.50331134,30.85086617538129,-5018.938147976474,True
245420,6483.166584881837,0.8798163890354814,36.65512743348003,1540668118.1112359,-221.6314057541377,2542.576923337372,True
245429,6483.292711495152,0.8790568310590205,24.66923018230487,1036923833.9146494,-50.35559594864165,1275.3822367344446,True
