lambda_theo;lambda_obs;y_obs;delta;curvature;slope;velocity_ms
4704,9481;4704,9484;0,2854;0,0003;4706401305;507,4978;0,0273
4707,2745;4707,2762;0,1407;0,0017;3135818800;408,4766;93,0252
4707,4877;4707,4809;0,1988;-0,0068;3163068539;-744,2017;-451,5656
4721,0006;4720,9906;0,2770;-0,0100;3865267795;-21,4092;-653,6172
4728,5457;4728,5411;0,2125;-0,0046;3075448605;-964,5787;-308,3288
4729,0192;4729,0142;0,4118;-0,0050;4708743614;297,2151;-333,3280
4735,8439;4735,8408;0,3252;-0,0031;5110419943;60,5088;-215,0694
4736,7734;4736,7769;0,1147;0,0035;2185466638;216,1464;204,6017
4741,5297;4741,5290;0,1892;-0,0007;4165504275;342,0542;-57,8455
4786,807;4786,8089;0,2018;0,0019;3254752392;963,6319;101,4091
4787,8269;4787,8232;0,3295;-0,0037;4421172257;114,6716;-248,2378
4791,2462;4791,2437;0,3614;-0,0025;4106486986;-544,1735;-172,0510
4798,2649;4798,2644;0,4359;-0,0005;4742341396;349,5756;-48,1993
4799,4061;4799,4077;0,3381;0,0016;4994433740;-271,0933;84,1576
4802,8797;4802,8788;0,3157;-0,0009;5697409230;264,6630;-70,1348
4807,7088;4807,7050;0,3245;-0,0038;4858893165;-221,5348;-255,3493
4832,7276;4832,7129;0,3156;-0,0147;4067024264;-225,7716;-930,8792
4838,5118;4838,5100;0,2917;-0,0018;4439705932;465,8699;-128,7721
4839,5445;4839,5414;0,2601;-0,0031;3426812161;-88,0861;-209,2441
4843,1438;4843,1484;0,2121;0,0046;3155900196;-111,5562;268,8287
4845,6482;4845,6460;0,3571;-0,0022;5103215575;-109,7205;-150,1541
4855,6732;4855,6700;0,2531;-0,0032;4224877102;-161,6478;-215,9323
4875,8776;4875,8746;0,2649;-0,0030;4771922239;124,5416;-199,1597
4882,1434;4882,1468;0,2240;0,0034;3969339148;460,0181;193,7322
4885,4306;4885,4282;0,2958;-0,0024;4947799022;75,3721;-162,5741
4887,1939;4887,1852;0,3326;-0,0087;3853380726;-433,4099;-547,4962
4892,8589;4892,8530;0,4045;-0,0059;4794119390;-48,3338;-379,7626
4907,7318;4907,7297;0,2735;-0,0021;5031074984;127,5250;-145,4328
4909,3835;4909,3812;0,3384;-0,0023;5051590413;154,5951;-158,2744
4910,0169;4910,0167;0,2057;-0,0002;4315940732;71,9525;-27,8800
4910,3258;4910,3254;0,3152;-0,0004;4437597019;486,0674;-38,3496
4910,5648;4910,5658;0,3293;0,0010;4289324375;283,7517;44,9152
4911,7794;4911,7637;0,3704;-0,0157;4383532991;-127,2147;-973,0963
4917,23;4917,2269;0,3604;-0,0031;4893947060;281,1743;-207,4458
4918,0125;4918,0073;0,4254;-0,0052;5388650551;96,5876;-335,9025
4924,7695;4924,7713;0,1098;0,0018;2197445077;-780,3188;94,9306
4938,8138;4938,8155;0,1358;0,0017;1847126353;685,9016;88,6240
4939,2391;4939,2332;0,2723;-0,0059;4184875275;-217,0197;-374,1780
4945,6374;4945,6418;0,4053;0,0044;3539320114;358,6557;251,9931
4946,3881;4946,3918;0,1624;0,0037;3130143483;693,1454;208,1040
4950,106;4950,1057;0,2184;-0,0003;4086123685;276,9944;-34,7053
4962,5719;4962,5678;0,3701;-0,0041;4245900384;-38,6005;-265,4671
4967,8974;4967,8950;0,2940;-0,0024;3575144142;-270,3436;-159,0230
4969,9176;4969,9155;0,3023;-0,0021;3896393610;981,5031;-143,2382
4970,4958;4970,4900;0,2930;-0,0058;3175121000;-157,7510;-364,0085
4982,4999;4982,5005;0,1986;0,0006;2441864228;550,6975;19,3127
4983,2507;4983,2480;0,2330;-0,0027;2704559592;-179,4956;-179,2876
4983,8529;4983,8518;0,2107;-0,0011;2939463375;-307,0945;-82,9720
4985,2529;4985,2522;0,2521;-0,0007;4197407890;744,4583;-57,5605
4985,5473;4985,5465;0,1679;-0,0008;2455655912;-491,2409;-63,5315
4986,2226;4986,2238;0,4320;0,0012;4229843409;467,5834;57,4631
4999,1125;4999,1143;0,4941;0,0018;3498573876;729,6569;90,5558
5001,8636;5001,8617;0,2236;-0,0019;2929944596;-355,9478;-128,0535
5002,7927;5002,7920;0,2679;-0,0007;3963139509;309,5417;-61,0401
5004,0443;5004,0436;0,4370;-0,0007;3787573513;920,2163;-57,3731
5005,7123;5005,7099;0,2316;-0,0024;2790518203;170,7154;-159,2786
5022,2355;5022,2325;0,2324;-0,0030;2995402473;371,5452;-193,0968
5023,1866;5023,1758;0,4444;-0,0108;3606137697;-420,5089;-658,5016
5027,7567;5027,7541;0,3475;-0,0026;1968447240;-27,0826;-174,0092
5028,1264;5028,1212;0,2337;-0,0052;2097093493;487,0259;-325,2229
5029,6176;5029,6161;0,3353;-0,0015;4238379627;-1,6276;-103,7580
5030,7786;5030,7799;0,4547;0,0013;4519538640;347,0029;61,8654
5044,2114;5044,2206;0,2114;0,0092;2003777842;-217,8726;531,5667
5054,6426;5054,6337;0,3710;-0,0089;4594299789;-372,1400;-547,2293
5065,1927;5065,2017;0,2497;0,0090;2613425408;906,1429;515,2961
5067,1496;5067,1476;0,3148;-0,0020;4104016084;360,4789;-134,4908
5068,7658;5068,7687;0,1514;0,0029;2036480606;290,4094;157,4668
5072,6721;5072,6889;0,3116;0,0168;2574181815;728,0694;974,3403
5074,7483;5074,7532;0,2188;0,0049;3466788483;51,4096;275,6377
5076,2646;5076,2784;0,3102;0,0138;2442193899;298,1048;799,4077
5078,9748;5078,9672;0,2366;-0,0076;2673150680;57,1415;-464,7340
5080,9361;5080,9270;0,5170;-0,0091;3552203739;429,9940;-555,8905
5109,652;5109,6430;0,3015;-0,0090;3433652655;161,0015;-547,1558
5115,7781;5115,7755;0,5164;-0,0026;4320490115;519,9538;-171,6222
5131,4687;5131,4691;0,1443;0,0004;2808003489;182,3665;6,4731
5137,3822;5137,3812;0,2419;-0,0010;4267550222;208,5476;-77,2268
5139,2515;5139,2528;0,1394;0,0013;1258389445;379,3908;57,3488
5148,0428;5148,0402;0,3325;-0,0026;5017987401;400,4086;-170,4951
5159,0576;5159,0558;0,3578;-0,0018;4477349664;-140,3421;-123,1596
5187,9142;5187,9059;0,3668;-0,0083;3592522910;96,1579;-498,7349
5196,0596;5196,0544;0,3030;-0,0052;3254073427;44,2191;-314,5097
5198,7111;5198,7118;0,1188;0,0007;1524406564;901,6465;26,2647
5217,3893;5217,3890;0,2097;-0,0003;3097329489;407,8606;-33,2042
5223,1855;5223,1847;0,4326;-0,0008;3931072736;345,0757;-63,0260
5226,0661;5226,0585;0,5690;-0,0076;1715727740;-91,7942;-455,4405
5228,3767;5228,3885;0,3212;0,0118;3287271809;192,5327;662,0528
5229,8485;5229,8494;0,1936;0,0009;3006545381;78,2135;35,4395
5242,4911;5242,4929;0,2514;0,0018;3738564028;185,2142;88,9702
5243,7769;5243,7668;0,3520;-0,0101;3786021433;-802,7442;-593,3000
5253,4617;5253,4606;0,2660;-0,0011;4717625510;149,8746;-77,8942
5263,3063;5263,3076;0,1904;0,0013;2538693047;936,5649;57,8448
5263,865;5263,8569;0,3556;-0,0081;3039283431;-151,1164;-479,1119
5273,1636;5273,1634;0,2125;-0,0002;3107424927;843,4384;-27,7123
5273,3736;5273,3811;0,1634;0,0075;1683133564;-91,1558;409,6674
5284,4248;5284,3836;0,2008;-0,0412;3246385540;295,1621;-2352,7100
5288,5247;5288,5242;0,3523;-0,0005;5191996656;-240,7686;-46,3169
5298,7758;5298,7795;0,4021;0,0037;3875542899;411,7651;191,9865
5322,0408;5322,0419;0,1959;0,0011;4302352360;115,6558;46,5350
5324,179;5324,1825;0,1441;0,0035;1361584600;-558,8336;179,9214
5326,1428;5326,1419;0,4334;-0,0009;4523618708;540,7838;-69,6962
5329,9891;5329,9822;0,3754;-0,0069;4179779225;-521,1631;-405,5633
5332,8997;5332,9018;0,0968;0,0021;1712059877;172,7108;102,9943
5339,9294;5339,9301;0,1801;0,0007;2665926871;238,4801;21,7737
5349,7376;5349,7141;0,2548;-0,0235;3222802167;376,6614;-1334,7465
5364,8713;5364,8708;0,2748;-0,0005;3851054336;96,3374;-46,3885
5365,3991;5365,3966;0,2934;-0,0025;4777614775;111,7643;-155,9913
5369,9619;5369,9627;0,2388;0,0008;3274889529;213,6826;30,5571
5373,7086;5373,7075;0,4210;-0,0011;4577674108;600,3462;-77,3264
5379,574;5379,5718;0,3450;-0,0022;5066516577;25,8929;-141,8224
5383,3692;5383,3714;0,2059;0,0022;2954164768;229,5264;107,4095
5389,4792;5389,4831;0,3452;0,0039;4115565612;816,1674;202,2477
5391,4585;5391,4514;0,3428;-0,0071;3645808145;-533,6274;-411,0100
5393,1676;5393,1696;0,1782;0,0020;2617813489;535,2141;96,4910
5397,6178;5397,6105;0,4635;-0,0073;3504739290;-500,9271;-423,3983
5398,2794;5398,2773;0,3932;-0,0021;4783152828;131,4851;-131,6167
5403,8215;5403,8197;0,3744;-0,0018;4801831608;418,1886;-117,8628
5409,1336;5409,1380;0,4195;0,0044;2852430207;819,7722;225,6627
5410,9098;5410,9096;0,2735;-0,0002;3888799077;32,9532;-26,4582
5424,0682;5424,0724;0,1904;0,0042;2355837446;360,6821;213,0113
5432,9479;5432,9445;0,4097;-0,0034;4330576232;308,9845;-202,1198
5445,0424;5445,0418;0,2810;-0,0006;4321578427;-55,4755;-47,6271
5462,9595;5462,9565;0,3370;-0,0030;4266622416;-0,3175;-182,0916
5463,2762;5463,2738;0,3074;-0,0024;3406454851;206,6785;-149,5239
5464,2796;5464,2730;0,4462;-0,0066;3628128462;-452,7042;-378,1131
5466,9878;5466,9835;0,4395;-0,0043;3920439105;177,1722;-251,6899
5472,7091;5472,6903;0,2910;-0,0188;4701113357;183,4903;-1046,0048
5473,9005;5473,8978;0,3488;-0,0027;4617948472;217,7722;-166,0235
5476,2885;5476,2828;0,3728;-0,0057;3780286823;75,0734;-327,1737
5476,5642;5476,5640;0,2709;-0,0002;2944744155;444,3352;-29,8678
5483,0988;5483,0920;0,4574;-0,0068;4420448413;106,6561;-387,7946
5487,746;5487,7417;0,3165;-0,0043;3515339724;419,1981;-251,8861
5493,4988;5493,4860;0,4537;-0,0128;3238212973;-207,9886;-715,0043
5522,4465;5522,4443;0,4865;-0,0022;4861750110;200,9778;-134,0374
5525,5443;5525,5377;0,4503;-0,0066;4390200538;-106,4061;-373,6653
5543,1896;5543,1831;0,4444;-0,0065;3738645471;-347,0281;-365,6786
5543,9357;5543,9372;0,4127;0,0015;4444032974;371,3502;64,8691
5546,5058;5546,4996;0,4656;-0,0062;3800470377;-148,1986;-350,4135
5560,2116;5560,2062;0,4855;-0,0054;4809010822;46,8608;-310,2829
5562,7065;5562,7038;0,4388;-0,0027;4404528659;69,3243;-161,8706
5565,704;5565,6958;0,3503;-0,0082;4404124838;-123,8082;-456,7965
5567,3911;5567,3894;0,2594;-0,0017;3682952948;-536,9559;-109,0961
5569,6181;5569,6184;0,2119;0,0003;2561900365;397,0694;-1,3111
5572,8424;5572,8440;0,1969;0,0016;2028824482;386,7690;71,7779
5573,1024;5573,0943;0,4647;-0,0081;3924925422;-678,2196;-451,4633
5576,0888;5576,0893;0,2487;0,0005;3362782531;241,4829;7,6473
5584,7647;5584,7593;0,4384;-0,0054;4073365452;195,9705;-306,5679
5586,7559;5586,7594;0,1876;0,0035;1832996238;773,5354;170,9909
5587,574;5587,5675;0,5345;-0,0065;4192905303;-44,2091;-365,1430
5615,2966;5615,2970;0,2285;0,0004;3213838427;243,0842;2,5818
5615,6439;5615,6451;0,1726;0,0012;1399953547;904,3011;45,9566
5618,6327;5618,6254;0,4702;-0,0073;4762815849;-14,3114;-406,1015
5624,022;5624,0187;0,4943;-0,0033;4528587662;361,1927;-190,9374
5633,9465;5633,9389;0,4914;-0,0076;3621519478;-5,7187;-423,5777
5635,8226;5635,8193;0,5372;-0,0033;4030083494;307,1993;-191,4026
5636,6962;5636,6940;0,5774;-0,0022;4228295669;129,4718;-131,1897
5637,1081;5637,1080;0,5604;-0,0001;4097487280;-13,9971;-21,2465
5638,2621;5638,2506;0,3861;-0,0115;3633004511;-666,3086;-629,7973
5641,434;5641,4468;0,4144;0,0128;3286870411;-47,6773;665,6350
5645,8338;5645,8314;0,7580;-0,0024;2785006384;53,5493;-141,5271
5649,6306;5649,6456;0,5154;0,0150;2248058452;-103,2202;780,9684
5651,469;5651,4681;0,6550;-0,0009;3466729607;115,3290;-65,2176
5652,318;5652,3079;0,5928;-0,0101;3974394853;-261,1032;-551,1535
5653,8668;5653,8623;0,5441;-0,0045;4169005499;414,5392;-257,7833
5655,1765;5655,1722;0,5621;-0,0043;3808026169;194,3889;-243,6631
5655,49;5655,4855;0,4485;-0,0045;4732013997;-59,2654;-254,5733
5660,8011;5660,7913;0,6161;-0,0098;3799909083;-412,5523;-535,9830
5661,3455;5661,3442;0,6106;-0,0013;3252390024;958,3538;-84,0774
5662,5162;5662,5152;0,3294;-0,0010;3932175847;232,9994;-70,2359
5662,938;5662,9045;0,3323;-0,0335;2872721012;119,5217;-1789,9272
5678,3788;5678,3682;0,7969;-0,0106;2109349256;78,7506;-577,6960
5679,0229;5679,0205;0,5040;-0,0024;4093753768;90,9370;-144,1925
5680,2404;5680,2400;0,6682;-0,0004;3146541535;-68,8797;-36,8682
5686,5302;5686,5307;0,4356;0,0005;4145655302;370,6987;7,1187
5691,497;5691,4901;0,5280;-0,0069;4328108655;130,9545;-381,6359
5698,02;5698,0157;0,6043;-0,0043;3726545518;489,8722;-241,6086
5701,5446;5701,5493;0,2071;0,0047;2704571692;546,4718;232,4034
