lambda_theo;lambda_obs;y_obs;delta;curvature;slope;velocity_ms
6079,0093;6079,0039;0,5824;-0,0054;3871667538;112,9677;-281,9469
6082,7106;6082,7170;0,3144;0,0064;3677041534;467,9529;300,8123
6085,259;6085,2317;0,1952;-0,0273;2711970068;524,8896;-1359,9253
6093,6444;6093,6375;0,6439;-0,0069;3561266202;113,5366;-355,1156
6094,3736;6094,3684;0,7185;-0,0052;3000270738;107,7132;-272,9564
6096,6653;6096,6627;0,5233;-0,0026;4640305861;132,6654;-145,6637
6098,2447;6098,2435;0,6900;-0,0012;2731828450;567,6491;-74,8753
6102,1777;6102,1721;0,4541;-0,0056;4057199438;189,9646;-290,3176
6105,1314;6105,1127;0,7324;-0,0187;2658282630;614,3481;-932,6289
6120,2494;6120,2435;0,3532;-0,0059;5897897516;105,0796;-304,0356
6127,9066;6127,9022;0,4865;-0,0044;4744351656;322,3992;-230,0590
6136,9947;6136,9939;0,2258;-0,0008;3680344812;51,4581;-57,4717
6147,8347;6147,8233;0,5089;-0,0114;3792832046;-415,5064;-572,6782
6151,6181;6151,6142;0,2689;-0,0039;4361791851;-145,6071;-208,3255
6157,7284;6157,7330;0,4282;0,0046;2952697422;920,7512;207,2637
6163,5445;6163,5323;0,3436;-0,0122;2897047858;-774,2322;-610,9200
6165,3603;6165,3611;0,5090;0,0008;3624876868;304,7225;23,6281
6173,3356;6173,3363;0,2628;0,0007;3458598371;790,1956;19,0806
6180,2042;6180,2013;0,3454;-0,0029;4100990435;341,9100;-156,3652
6187,9904;6187,9874;0,4770;-0,0030;3599315959;680,0582;-160,8454
6200,3129;6200,3145;0,3002;0,0016;2866755458;456,0789;61,2560
6213,4303;6213,4328;0,2455;0,0025;2798201690;268,0255;102,4352
6219,281;6219,2823;0,2344;0,0013;2393230584;140,4852;45,7813
6232,6412;6232,6409;0,3884;-0,0003;3271994976;237,1440;-30,6783
6240,6462;6240,6451;0,3384;-0,0011;3380022642;344,2504;-70,6653
6246,3188;6246,3182;0,3494;-0,0006;2964225294;817,4833;-43,2442
6254,2585;6254,2562;0,2388;-0,0023;2986206153;-115,4855;-126,1725
6256,3615;6256,3545;0,2561;-0,0070;1798984935;-471,7832;-352,7395
6265,134;6265,1359;0,2404;0,0019;2485333441;231,3467;75,2353
6270,225;6270,2293;0,4085;0,0043;3716699337;409,8475;189,6247
6290,9656;6290,9690;0,5396;0,0034;2742820103;824,8278;144,0984
6302,4936;6302,4894;0,3904;-0,0042;4317467817;-26,9713;-216,7808
6311,5003;6311,4937;0,4592;-0,0066;4793720060;103,5837;-329,8155
6315,8115;6315,8038;0,5429;-0,0077;4017025071;-98,4258;-383,4097
6318,0175;6318,0268;0,2135;0,0093;2028605320;-205,6994;422,8291
6322,6855;6322,6866;0,2744;0,0011;3619749444;16,9264;36,4661
6330,8495;6330,8400;0,6614;-0,0095;2940068072;107,8795;-465,3605
6335,3308;6335,3324;0,1919;0,0016;2358970190;74,5983;57,7648
6336,8243;6336,8215;0,3515;-0,0028;3695109415;42,8074;-149,7740
6338,8775;6338,8680;0,6435;-0,0095;3197918512;717,9314;-468,1010
6344,1491;6344,1485;0,3037;-0,0006;3418246480;-451,2257;-46,9359
6362,8763;6362,8610;0,2436;-0,0153;3288891039;539,7036;-737,8243
6380,7433;6380,7351;0,5026;-0,0082;4095304319;261,0001;-399,8308
6385,7185;6385,7118;0,7637;-0,0067;2289781102;377,5545;-329,8362
6392,5388;6392,5379;0,4453;-0,0009;4810127514;165,7806;-59,3188
6400,0012;6400,0021;0,2571;0,0009;2722754039;325,1498;26,9962
6400,318;6400,3165;0,1293;-0,0015;2916326330;5,0855;-86,1188
6408,0184;6408,0148;0,3537;-0,0036;3814156732;-21,1841;-182,9741
6411,6493;6411,6465;0,3010;-0,0028;3252721842;117,0343;-145,3244
6419,6454;6419,6332;0,7070;-0,0122;2206374769;863,0775;-588,0399
6419,9496;6419,9464;0,4698;-0,0032;3832873628;258,2589;-165,8915
6421,3508;6421,3528;0,1732;0,0020;2511384110;738,7119;74,8943
6436,4072;6436,3952;0,7701;-0,0120;2663811449;-247,4297;-576,5903
6464,6642;6464,6667;0,3856;0,0025;4516940449;309,9174;100,1682
6469,1181;6469,1449;0,4451;0,0268;2609801632;-536,7442;1224,4994
6475,6244;6475,6243;0,3133;-0,0001;4358405540;-51,8195;-22,3019
6481,8703;6481,8698;0,2706;-0,0005;3781485536;178,0116;-37,5946
6494,4999;6494,4930;0,6604;-0,0069;2498916790;883,7832;-336,9189
6495,7422;6495,7298;0,6043;-0,0124;2909057542;-280,5267;-587,9852
6496,4666;6496,4613;0,5299;-0,0053;3244911017;207,9186;-260,2319
6498,9392;6498,9379;0,1578;-0,0013;3509711918;31,9855;-75,7122
6504,1835;6504,1625;0,3619;-0,0210;4323946670;-87,8314;-985,0522
6518,3671;6518,3637;0,3397;-0,0034;4737823573;-50,0002;-171,5294
6533,9294;6533,9270;0,5976;-0,0024;3230266901;457,2091;-127,4799
6546,2395;6546,2519;0,2037;0,0124;2101127288;-8,2703;549,1693
6551,678;6551,6696;0,3868;-0,0084;4395980442;-341,2124;-402,2482
6556,788;6556,7874;0,7649;-0,0006;2545610214;856,6158;-43,7246
6569,2155;6569,2099;0,4644;-0,0056;3688942947;199,8305;-274,1646
6581,2101;6581,2044;0,3278;-0,0057;4908112651;-74,4547;-277,9782
6592,9138;6592,9144;0,2276;0,0006;2491811239;287,9134;10,6920
6593,8705;6593,8746;0,2420;0,0041;2886757407;291,0993;169,8987
6597,5611;6597,5504;0,6019;-0,0107;4064775151;76,5825;-502,6526
6604,589;6604,5857;0,4782;-0,0033;3705307963;177,6492;-168,6969
6608,026;6608,0210;0,4521;-0,0050;4521339611;-374,0147;-243,1396
6609,1103;6609,1111;0,3072;0,0008;3664668161;-82,5240;18,3237
6613,8254;6613,8139;0,3707;-0,0115;4343082840;-469,5417;-537,7609
6627,5448;6627,5422;0,6748;-0,0026;2875859015;830,8206;-135,8401
6633,7497;6633,7444;0,5199;-0,0053;4406990589;80,2435;-256,8977
6646,9318;6646,9264;0,5673;-0,0054;3969286714;-6,6986;-260,8372
6648,081;6648,0804;0,4073;-0,0006;4471217906;130,9472;-42,7979
6653,8527;6653,8448;0,7530;-0,0079;2815593434;611,6577;-371,0143
6663,4421;6663,4405;0,2561;-0,0016;3805557049;31,4748;-90,1300
6667,4191;6667,4098;0,6047;-0,0093;3963590885;59,2314;-434,4785
6667,7113;6667,7232;0,6924;0,0119;3383215438;535,5707;519,2920
6677,987;6677,9869;0,2414;-0,0001;2014995764;321,4295;-22,9668
6687,4922;6687,5380;0,5649;0,0458;2654407545;-718,0204;2038,6457
6699,1418;6699,1286;0,7714;-0,0132;2153893178;475,8375;-608,0334
6703,5674;6703,5576;0,4311;-0,0098;4213750580;-9,9509;-456,0437
6705,1024;6705,0984;0,5880;-0,0040;3332048555;127,0837;-195,4886
6710,3195;6710,3102;0,3764;-0,0093;4196426674;-106,6092;-430,4696
6713,7448;6713,7422;0,7313;-0,0026;2483593020;836,2971;-132,5352
6725,3572;6725,3429;0,6876;-0,0143;3554454658;180,2398;-656,3332
6726,6668;6726,6601;0,6195;-0,0067;3863015505;237,4270;-316,1095
6733,1513;6733,1438;0,6263;-0,0075;3025938277;194,8601;-351,2236
6739,5219;6739,5141;0,4193;-0,0078;4746691335;20,0739;-364,5986
6750,1525;6750,1539;0,2987;0,0014;3374793539;285,6459;46,7611
6783,7039;6783,6935;0,5153;-0,0104;2838674406;-796,8231;-475,7054
6786,8604;6786,8515;0,6280;-0,0089;3074944337;237,9581;-408,9405
6804,0009;6803,9978;0,6672;-0,0031;2070571572;593,1872;-153,5909
6804,2713;6804,2637;0,7747;-0,0076;1881299005;-46,9314;-352,9055
6806,8449;6806,8385;0,4432;-0,0064;4235378923;390,4680;-297,0556
6810,2628;6810,2517;0,5619;-0,0111;3782332734;-354,6431;-505,9898
6820,3719;6820,3438;0,5726;-0,0281;3075064393;-905,2383;-1252,9999
6828,5912;6828,5943;0,5605;0,0031;3672294247;459,0862;120,5984
6837,0061;6836,9983;0,7197;-0,0078;2636893100;75,5509;-358,1648
6839,8305;6839,8338;0,4362;0,0033;3909046048;312,9693;129,5325
6842,6858;6842,6837;0,5952;-0,0021;3709048007;2,9665;-109,3976
6843,656;6843,6491;0,5521;-0,0069;3727887089;-104,7993;-318,0982
6855,1621;6855,1550;0,4942;-0,0071;4195423433;-105,1866;-327,3148
6857,2503;6857,2334;0,6343;-0,0169;3387332383;-50,3883;-757,5765
6916,6815;6916,6770;0,5036;-0,0045;3783441173;259,6439;-213,4977
6945,2052;6945,2059;0,2563;0,0007;3835570846;74,9421;13,0547
6978,8516;6978,8519;0,2615;0,0003;4061432556;389,3025;-3,9230
6999,8841;6999,8813;0,5129;-0,0028;4135265211;22,9488;-136,5552
7038,2234;7038,2165;0,5028;-0,0069;4509771614;140,2463;-311,0739
7130,9221;7130,9248;0,4222;0,0027;3277686821;470,3500;97,9877
7164,4486;7164,4421;0,3926;-0,0065;3019421858;-697,9922;-290,1493
7187,318;7187,3143;0,3318;-0,0037;2966247323;-265,2023;-172,8945
7207,1116;7207,1135;0,5005;0,0019;3308363991;832,3808;61,7126
7207,388;7207,3852;0,3709;-0,0028;3783449945;-228,8099;-133,4982
7288,7385;7288,7418;0,4981;0,0033;3711817793;514,1364;117,8185
7293,0454;7293,0363;0,4879;-0,0091;4079066196;-384,2874;-391,5388
7386,3332;7386,3210;0,5294;-0,0122;3162414588;-959,6144;-510,3606
7389,3988;7389,3814;0,3742;-0,0174;3085925591;-400,6146;-724,0363
7401,6849;7401,6792;0,5924;-0,0057;4228807936;186,1762;-248,0809
7411,1544;7411,1504;0,3873;-0,0040;4134998274;-146,7228;-177,0493
7418,6674;7418,6651;0,5506;-0,0023;4221675755;282,5209;-108,0542
7430,8567;7430,8361;0,7061;-0,0206;2528849959;-215,8770;-846,4882
7440,9122;7440,9090;0,6032;-0,0032;3481477336;159,2830;-145,1441
7443,0224;7443,0107;0,6071;-0,0117;3551791096;-123,0399;-487,9910
7445,7508;7445,7451;0,3417;-0,0057;3788876133;19,2665;-245,9263
7447,3938;7447,3884;0,6919;-0,0054;2810643325;319,0694;-233,5915
7461,5206;7461,5194;0,4461;-0,0012;4660850048;16,9421;-65,1782
7473,5539;7473,5470;0,7346;-0,0069;2267850680;968,8342;-293,0361
7476,3759;7476,3656;0,7736;-0,0103;2376636667;40,4762;-429,0388
7491,6486;7491,6431;0,4847;-0,0055;4705241007;6,9661;-237,5250
7495,0674;7495,0659;0,3250;-0,0015;3613859832;-41,4103;-75,3510
7507,2663;7507,2574;0,5331;-0,0089;3651600106;-120,0119;-373,9312
7511,0205;7511,0224;0,2965;0,0019;3148099191;250,3839;59,1659
7531,1451;7531,1406;0,4327;-0,0045;4477670452;-16,0872;-193,8785
7568,8999;7568,8966;0,4620;-0,0033;4658701890;196,8370;-148,8481
7583,7882;7583,7912;0,3181;0,0030;3646195439;60,3697;101,4132
7586,0187;7586,0164;0,3645;-0,0023;4382511506;234,4546;-107,2507
7650,945;7650,9417;0,4967;-0,0033;4248843938;117,9616;-147,6627
7653,7596;7653,7256;0,4862;-0,0340;2636107545;-574,7461;-1349,6253
7661,1974;7661,1953;0,4677;-0,0021;4156587105;256,2726;-97,9280
7710,3645;7710,3639;0,5087;-0,0006;3783489547;299,6327;-38,5482
7719,0486;7719,0398;0,7244;-0,0088;2547608305;2,2674;-358,7789
7723,208;7723,2053;0,3764;-0,0027;4729135933;217,7177;-120,6233
7742,7047;7742,7074;0,6344;0,0027;2873086902;216,6616;86,3449
7748,2694;7748,2742;0,3086;0,0048;2824710577;-208,0813;168,0645
7780,5573;7780,5520;0,3942;-0,0053;4323889926;-7,6025;-220,7216
7807,9091;7807,9059;0,6120;-0,0032;3249805601;112,2123;-137,9222
7832,1968;7832,1944;0,3848;-0,0024;4067558177;246,8464;-107,9387
7869,6106;7869,6036;0,6845;-0,0070;3129258274;638,5899;-282,5360
7912,867;7912,8659;0,1903;-0,0011;3232791523;347,9274;-56,7712
7937,1406;7937,1386;0,3639;-0,0020;3789771264;83,7767;-91,4503
7941,0892;7941,0819;0,4719;-0,0073;4652706950;123,7706;-290,9759
7954,9345;7954,9277;0,6891;-0,0068;3407834463;-150,4192;-271,9797
7998,9458;7998,9447;0,3767;-0,0011;3910316133;176,3098;-57,7952
8027,9418;8027,9228;0,5507;-0,0190;3042823695;-984,9807;-725,9911
8028,3145;8028,3081;0,5290;-0,0064;4211166504;113,4554;-257,2221
8046,0479;8046,0454;0,3951;-0,0025;4127995528;97,7191;-108,3859
8047,6185;8047,6182;0,1700;-0,0003;2803156868;204,0832;-26,5938
8072,1647;8072,1565;0,5497;-0,0082;3911810237;250,7593;-320,4860
8075,1509;8075,1486;0,2176;-0,0023;3747691431;433,0158;-101,8100
8080,5475;8080,5316;0,5251;-0,0159;3002396669;282,5438;-604,7604
8085,1723;8085,1640;0,3894;-0,0083;3625600283;-862,7424;-325,2780
8096,8755;8096,8550;0,5970;-0,0205;2821481560;-627,5596;-775,6229
8108,3212;8108,3033;0,5698;-0,0179;3392287483;-123,6475;-678,4375
8112,1635;8112,1545;0,5705;-0,0090;3734989110;-130,8530;-349,3829
8204,103;8204,0908;0,3711;-0,0122;4455293051;274,8494;-462,5031
8204,9372;8204,9351;0,3155;-0,0021;4820149214;139,4357;-94,9043
8207,7429;8207,7405;0,5554;-0,0024;3937491059;204,0217;-105,8534
8220,379;8220,3809;0,3252;0,0019;3287592341;165,7643;54,2256
8232,3178;8232,3092;0,5144;-0,0086;3542599790;-278,7495;-329,2791
8239,1281;8239,1419;0,2308;0,0138;5252244445;-20,3199;484,4175
8248,1309;8248,1262;0,5547;-0,0047;3829776282;69,5516;-186,7083
8275,8921;8275,9146;0,2046;0,0225;4878088791;-790,0416;799,3028
8331,9157;8331,9167;0,3909;0,0010;4152556705;-15,0878;20,0715
8339,4039;8339,4019;0,4834;-0,0020;4120194175;49,3382;-88,0254
8360,7956;8360,7813;0,5772;-0,0143;3212921111;-402,0679;-529,7389
8365,6336;8365,6389;0,4249;0,0053;3537657326;835,3581;173,2915
8401,4;8401,3981;0,4726;-0,0019;4884049857;253,4999;-83,3812
8526,669;8526,6656;0,6272;-0,0034;3581329676;417,2858;-135,2937
8582,2574;8582,2643;0,4004;0,0069;3335096134;173,3730;222,7223
8598,8302;8598,8269;0,6069;-0,0033;3640171645;212,3573;-131,2863
8611,804;8611,8018;0,3183;-0,0022;3500133560;-184,5953;-94,6193
8616,2796;8616,2736;0,6946;-0,0060;3258033358;239,0859;-224,2545
8621,6007;8621,6051;0,4030;0,0044;3616304329;171,7320;137,2082
8674,7465;8674,7470;0,3166;0,0005;3362039249;104,7872;-0,2882
8699,454;8699,4467;0,6096;-0,0073;3346996942;-33,9862;-269,0843
8710,3915;8710,3878;0,5751;-0,0037;3229124431;-205,4049;-145,6939
8713,2034;8713,1899;0,5189;-0,0135;3903668919;169,2515;-481,1293
8757,1876;8757,1856;0,3337;-0,0020;3639266512;-4,0266;-86,2563
8763,9664;8763,9624;0,4813;-0,0040;4430069898;31,2964;-152,2365
8793,3438;8793,3384;0,4605;-0,0054;4489615397;3,1943;-202,4453
8804,6258;8804,6254;0,3687;-0,0004;4088597403;119,8760;-28,9827
8838,429;8838,4269;0,3386;-0,0021;3701375942;99,1157;-86,3256
8866,9329;8866,9301;0,4292;-0,0028;4076757533;101,1560;-111,7265
8868,429;8868,4330;0,4685;0,0040;3871805653;197,0987;118,2142
8943,0639;8943,0555;0,4999;-0,0084;3334424490;-335,4467;-297,6870
9010,5946;9010,5982;0,4191;0,0036;3883545797;876,4310;101,9848
9012,0745;9012,0704;0,5622;-0,0041;3692979077;116,6843;-154,0173
9013,9776;9013,9755;0,4743;-0,0021;4589551248;124,1511;-85,3236
9078,5716;9078,5427;0,3384;-0,0289;6432067405;188,7356;-972,0648
9089,4044;9089,4439;0,2369;0,0395;3880811240;-636,1750;1286,1734
9100,6748;9100,6566;0,6312;-0,0182;3416280106;-613,3288;-616,6010
9117,1327;9117,1410;0,0669;0,0083;5926000456;-97,0186;254,8172
